make,model,year,vin,price,mileage,transmission,engine,color,fuel type,body style,description,image URLs,source link
Ford,Mustang,1965,0000005F08T660842,53000,53719,4 Speed Manual,V8,Red,,car,"Gateway Classic Cars of Tulsa is proud to digitally represent this 1965 Ford Mustang Convertible. This stunning vehicle boasts a striking red exterior that captures the essence of the era's bold design. Complementing its vibrant exterior is a sleek black interior, offering a timeless and sophisticated look that enhances the overall driving experience. Under the hood, this Mustang is powered by a robust 289 V8 engine, delivering the performance and power that enthusiasts have come to expect from this legendary model. Paired with a Hurst 4-speed manual transmission, this vehicle offers an engaging and dynamic driving experience, allowing you to truly connect with the road. Inside, the Mustang is equipped with a range of features designed to enhance comfort and convenience. The AM/FM radio provides entertainment options for your journeys, while the manual convertible top allows you to enjoy open-air driving at your leisure. Disc Brakes and Power steering ensures effortless maneuverability, making every drive a pleasure. The vehicle rides on durable radial tires and is fitted with rally wheels, adding to its classic appeal. Safety is also a priority, with seatbelts included for added peace of mind. The rare tilt steering wheel offers adjustable comfort, allowing you to find the right driving position. The interior is finished in high-quality vinyl, combining durability with a classic aesthetic. This 1965 Ford Mustang is a testament to timeless design and engineering, offering a driving experience that is both exhilarating and nostalgic. Whether you're a collector or simply an enthusiast of classic cars, this Mustang is sure to impress with its iconic style and performance. The 1965 Ford Mustang Convertible is listed by our Tulsa Showroom and can be viewed in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff. Our Tulsa Showroom is located at 10010 E. 71 Street, Tulsa, OK 74133. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/TUL/678/images/watermarked/mobile480/1965-Ford-Mustang.jpg,https://www.gatewayclassiccars.com/vehicle/tul/678/1965-ford-mustang,
Dodge,Challenger,1973,0000JH23H3B443865,53000,21344,4 Speed Manual,340 V8,Blue,,car,"Gateway Classic Cars of Tulsa is proud to digitally represent the 1973 Dodge Challenger. This iconic muscle car is presented in a striking blue exterior that captures the essence of its era, exuding both style and performance. Under the hood, you'll find a robust 340 V8 engine, paired with a 4-speed manual transmission, offering an exhilarating driving experience that true enthusiasts will appreciate. Step inside to discover a sleek black interior that complements the bold exterior. The cabin features a vinyl interior that not only adds to the car's vintage charm but also provides a comfortable ride. For those who appreciate the blend of classic and modern conveniences, this Dodge Challenger comes with an AM/FM radio, allowing you to enjoy your favorite tunes as you cruise down the road. The custom wheels add a touch of personalization, enhancing the car's already impressive stance. Driving this Challenger is made even more enjoyable with power steering and power brakes, providing ease of handling and reliable stopping power. Whether you're navigating city streets or open highways, these features ensure a smooth and controlled ride. This 1973 Dodge Challenger is more than just a car; it's a statement of style and performance. With its combination of classic design and thoughtful features, it stands as a testament to the enduring appeal of American muscle cars. The 1973 Dodge Challenger is listed by our Tulsa and can be viewed in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff. Our Tulsa Showroom is located at 10010 E. 71 Street, Tulsa, OK 74133. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/TUL/690/images/watermarked/mobile480/1973-Dodge-Challenger.jpg,https://www.gatewayclassiccars.com/vehicle/tul/690/1973-dodge-challenger,
Ford,Mustang,1968,0000008F01C116919,53000,30231,Automatic,V8,Red,,car,"Gateway Classic Cars of St. Louis is proud to digitally present this striking 1968 Ford Mustang Restomod, blending iconic pony-car looks with modernized performance and attitude. Finished in a deep, glossy red exterior, this fastback-inspired coupe delivers classic Mustang style with a serious street-machine presence. Beneath the hood sits a 351 Windsor V8, built with performance in mind-featuring Edelbrock aluminum heads, a Straub custom hydraulic roller cam, Keith Black pistons, and roller rockers for responsive power delivery. Backing the small-block is a rebuilt automatic transmission feeding a Ford 9-inch rear end with 3.73 gears and Posi-traction, ensuring the car hooks up and goes when you lay into it. Supporting that power are modernized underpinnings: upgraded QA1-style front suspension, new control arms, bushings, sway bars, and refreshed braking and steering systems. The result is a confident, composed Mustang that feels as sharp on the road as it looks sitting still. Cooling is handled by a seven-core aluminum radiator with dual electric fans, keeping temperatures stable even in spirited driving. Inside, the car retains its classic layout but benefits from new upholstery, carpet, and trim, giving the cabin a clean, purposeful look. A custom steering wheel, functional gauges, and subtle finishing touches tie together the restoration while maintaining that unmistakable 1960s character. From the aggressive stance and polished wheels to the unmistakable growl of its tuned 351 W, this Mustang captures the essence of American performance-reborn for the modern era. It's the kind of build that begs to be driven, not just admired. Highlights 351 Windsor V8 with performance internals Edelbrock aluminum heads / hydraulic roller cam / Keith Black pistons Rebuilt automatic transmission Ford 9-inch rear / 3.73 Posi-traction gears Updated suspension and steering components 7-core aluminum radiator with electric fans Fresh red paint and new interior trim Classic styling with Restomod performance upgrades This 1968 Ford Mustang Restomod can be seen in detail-including 100+ HD photos and video-at GatewayClassicCars.com. This vehicle is available for viewing in person at the St. Louis Showroom located at 1237 Central Park Drive, O'Fallon IL 62269. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/STL/9975/images/watermarked/mobile480/1968-Ford-Mustang.jpg,https://www.gatewayclassiccars.com/vehicle/stl/9975/1968-ford-mustang,
Ford,Thunderbird,1957,0000000D7FH393956,50000,48645,3speed Manual,312 V8,White,,car,"Gateway Classic Cars of Louisville is proud to present this stunning 1957 Ford Thunderbird! When Ford introduced the Thunderbird in 1955, it launched a new concept in American motoring, the personal luxury car. Blending performance, comfort, and timeless style, the Thunderbird quickly became an icon. By 1957, the final year of the first generation, its design had been refined to enduring excellence, sleek, elegant, and unmistakably American. Exterior Finished in classic white, this ""Baby Bird"" radiates 1950s sophistication. Sculpted lines, a wide front grille, and the signature porthole hardtop define its memorable silhouette. Chrome accents, factory badging, and wide whitewall tires complete the period-correct presentation. Interior Inside, a crisp black and white cabin showcases Ford's attention to design and detail. The dash, gauges, and bright trim retain their original mid-century character, while the seating and panels display craftsmanship and care throughout. Engine & Drivetrain Power comes from Ford's 312 cubic-inch V8 paired with a 3-speed manual transmission featuring factory overdrive. The engine bay is clean and well-presented, highlighted by the optional engine dress-up kit that adds an extra touch of refinement. Driving Experience The Thunderbird delivers confident road manners and smooth performance. The manual gearbox provides a connected, engaging drive, while the V8's classic tone adds to its charm on every cruise. This 1957 Ford Thunderbird is listed by our Louisville showroom and can be viewed in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff or email us at Louisville@ GatewayClassicCars.com - Our Louisville Showroom is located at 13576 Blue Lick Rd. Ste A. Memphis, IN 47143. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/LOU/3302/images/watermarked/mobile480/1957-Ford-Thunderbird.jpg,https://www.gatewayclassiccars.com/vehicle/lou/3302/1957-ford-thunderbird,
Ford,Model A,1931,000000000V10228HA,50000,1,350 Turbo Automatic,V8,White,,car,"Gateway Classic Cars of St. Louis is proud to digitally present this 1931 Ford Model A Pro Street Conversion. This incredible build takes the timeless silhouette of the 1931 Ford Model A and transforms it into a modern street machine with high-performance attitude and refined craftsmanship. Combining the charm of pre-war design with the heart of a Corvette, this Pro Street Model A is equal parts nostalgia and horsepower. Finished in a stunning White Pearl exterior, this hot rod glows under any light - a show-quality finish that highlights its flowing lines and smoothed bodywork. The look is clean and aggressive, with shaved door handles and subtle detailing that give it a sleek, modernized appearance without losing its classic soul. Under the hood lives a 1995 LT1 Corvette engine, a proven powerhouse known for its blend of reliability and performance. Mated to a 350 Turbo automatic transmission, the car delivers effortless acceleration and smooth shifts, whether you're cruising Main Street or tearing up the open road. Inside, the cabin is wrapped in a cream leather interior, combining comfort with luxury. Modern amenities including air conditioning, a custom sound system with radio, and heat make this car as enjoyable to drive as it is to admire. The craftsmanship throughout reflects a careful, high-quality build meant to be driven and shown with pride. Highlights include: White Pearl exterior with Cream leather interior 1995 LT1 Corvette V8 engine 350 Turbo automatic transmission Shaved door handles for a clean look Air conditioning and heat Custom sound system with radio Pro Street stance and styling This 1931 Ford Model A Pro Street seamlessly blends vintage style, modern performance, and comfort in one stunning package - a car that turns heads at every stoplight and every car show. This 1931 Ford Model A Pro Street Conversion can be seen at the St. Louis showroom located at 1237 Central Park Drive, O'Fallon IL 62269 First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/STL/9947/images/watermarked/mobile480/1931-Ford-Model-A.jpg,https://www.gatewayclassiccars.com/vehicle/stl/9947/1931-ford-model-a,
Jeep,Scrambler,1982,1JCBM88E4CT038988,48000,113067,Manual,383 Stroker Blueprint V8,Red,,car,"Gateway Classic Cars Houston Showroom is proud to present this 1982 Jeep Scrambler is a striking example of rugged capability blended with custom performance. Finished in a vivid red exterior with a clean black interior, this Scrambler captures attention wherever it goes. Powering this Jeep is a 383 Stroker Blueprint V8 engine that delivers exhilarating performance and an unmistakable sound. The engine has only 500 miles since being installed, offering the next owner a freshly built powertrain ready for adventure. Backing the powerful V8 is a T-18 manual transmission, known for its exceptional strength and durability. Jeep enthusiasts often favor the T-18 for its heavy-duty design and ultra-low first gear, making it ideal for off-road crawling or precise on-road control. This particular transmission has been freshly rebuilt and has only 500 miles since the rebuild, ensuring smooth and confident gear changes. Adding to its aggressive stance and off-road capability, this Scrambler has been equipped with a 4-inch lift that provides extra ground clearance and enhances its commanding presence on any terrain. The Jeep rides on a set of custom aluminum wheels wrapped in performance tires, giving it both a bold look and outstanding traction. Power steering and power brakes make handling responsive and easy, while the manual convertible top adds to the open-air experience that classic Jeep owners love. The black vinyl interior is clean and functional, complete with seatbelts and an AM/FM radio to keep things simple and authentic. With its combination of iconic Jeep styling, modern performance, and recent mechanical updates, this 1982 Jeep Scrambler is more than just a collector's piece-it's a ready-to-drive classic built for both show and adventure. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/HOU/3042/images/watermarked/mobile480/1982-Jeep-Scrambler.jpg,https://www.gatewayclassiccars.com/vehicle/hou/3042/1982-jeep-scrambler,
Packard,160,1940,0000000000C506553,46000,13063,3 on the tree Manual,Straight 8,Black,,car,"Gateway Classic Cars of San Antonio/Austin is excited to present this 1940 Packard 160. Finished in a rich black exterior with a tan leather interior, this Packard exudes the elegance and craftsmanship that defined the era. Power comes from an inline 8 cylinder engine paired with a 3-on-the-tree manual transmission, offering a driving experience that reflects the engineering precision and refinement of pre-war American luxury automobiles. Inside, the tan leather interior provides a comfortable and inviting atmosphere. The cabin showcases classic design elements and quality materials that highlight Packard's attention to detail during its time. The manually operated convertible top allows the driver to enjoy open-air motoring at their discretion, adding to the car's timeless appeal. Every aspect of this Packard highlights the quality and craftsmanship that made the brand one of America's most respected automakers. From the flowing body lines to the refined interior touches, it captures a distinct moment in automotive history. The 1940 Packard 160 remains a testament to classic luxury and design, representing an era when elegance and performance were built by hand and meant to be driven with pride. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/SAN/1055/images/watermarked/mobile480/1940-Packard-160.jpg,https://www.gatewayclassiccars.com/vehicle/san/1055/1940-packard-160,
Hudson,Coupe,1930,00000000000028688,46000,5803,Automatic,350 CID V8,Red,,car,"Gateway Classic Cars of Kansas City is proud to digitally introduce a classic piece of automotive history, the 1930 Hudson Coupe, presented in a striking, dark red exterior that captures the essence of its era while turning heads wherever it goes. This vintage beauty is not just about looks; it has been thoughtfully updated to enhance your driving experience with modern conveniences. Under the hood, you'll find a robust 350 CID V8 engine paired with an automatic transmission, offering a seamless blend of power and ease of use that makes every drive a pleasure. Step inside to discover a luxurious tan leather interior that complements the car's exterior elegance. The cabin is designed to provide comfort and style, featuring plush leather seats that invite you to settle in for the journey ahead. For those who appreciate modern amenities, this Hudson Coupe is equipped with air conditioning, ensuring a comfortable ride no matter the weather outside. Entertainment is at your fingertips with the included AM/FM radio, allowing you to enjoy your favorite tunes as you cruise down the road. Additionally, the convenience of power windows adds a touch of modernity to this classic vehicle, making it easy to adjust your environment with just the push of a button. This 1930 Hudson Coupe is a remarkable blend of classic design and contemporary features, offering a unique driving experience that pays homage to the past while embracing the present. Whether you're a collector or simply someone who appreciates the finer things in life, this vehicle is sure to provide countless moments of enjoyment on the open road. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/KCM/1358/images/watermarked/mobile480/1930-Hudson-Coupe.jpg,https://www.gatewayclassiccars.com/vehicle/kcm/1358/1930-hudson-coupe,
Chevrolet,Bel Air,1957,000000VC57K196481,46000,24827,2 Speed Powerglide Automatic,283 CID V8,Larkspur Blue,,car,"Gateway Classic Cars of Scottsdale is proud to digitally present this 1957 Chevrolet Bel Air, a true symbol of classic American automotive design and engineering. This particular model, with its striking Larkspur Blue exterior, captures the essence of the era with its sleek lines and timeless appeal. The 4-door configuration offers practicality while maintaining the distinctive style that the Bel Air is renowned for. Under the hood, this Bel Air is powered by a robust V8 engine, delivering the kind of performance that made the 1957 model a standout in its class. Paired with an automatic transmission, this vehicle offers a smooth and effortless driving experience, making it a pleasure to cruise down the open road. Inside, the car features a unique three-tone blue cloth interior that complements the exterior color scheme beautifully. The combination of cloth and vinyl materials provides a comfortable and stylish cabin environment, for both short trips and long journeys. The inclusion of an AM radio adds a touch of nostalgia, allowing you to enjoy the sounds of the past as you drive. Equipped with radial tires, this Bel Air ensures a stable and reliable ride, enhancing both safety and comfort. The attention to detail in the design and features of this vehicle highlights the craftsmanship and innovation that Chevrolet was known for during this golden era of automotive history. This 1957 Chevrolet Bel Air is more than just a car; it is a piece of Americana, a testament to a time when design and performance were paramount. Whether you're a collector or simply an enthusiast of classic cars, this Bel Air offers an authentic experience that is sure to captivate and inspire. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/SCT/2266/images/watermarked/mobile480/1957-Chevrolet-Bel-Air.jpg,https://www.gatewayclassiccars.com/vehicle/sct/2266/1957-chevrolet-bel-air,
Ford,Mustang,1967,0000007T01C275460,46000,7,5 speed Manual,289 V8,Rally Green Metallic Pearl,,car,"Gateway Classic Cars of Chicago is proud to present a classic icon that embodies the spirit of American muscle and timeless design: the 1967 Ford Mustang. This particular model is a stunning example, featuring a captivating rally green metallic pearl exterior that is sure to turn heads wherever you go. The sleek lines and bold stance of this Mustang are accentuated by its distinctive color, making it a standout choice for enthusiasts and collectors alike. Step inside to experience the classic charm of a black interior that nicely complements the exterior's vibrant hue. The cabin offers a nostalgic atmosphere, inviting you to take a seat and enjoy the journey ahead. The interior design reflects the era's attention to detail, providing a comfortable and engaging driving environment that enhances the overall experience of this legendary vehicle. Under the hood, this Mustang is powered by a robust 289 V8 engine, delivering the kind of performance that has made the Mustang a symbol of power and excitement. Paired with a 5-speed manual transmission, this setup offers an engaging driving experience that allows you to connect with the road. This 1967 Ford Mustang is equipped with an AM/FM radio, providing entertainment options that enhance your driving experience. The inclusion of power brakes ensures confident stopping power, adding to the overall safety and drivability of the vehicle. Additionally, seatbelts are included, reflecting a commitment to safety without compromising the classic appeal of this iconic car. In summary, this 1967 Ford Mustang in rally green metallic pearl is a remarkable representation of automotive history. With its striking exterior, classic interior, and powerful engine, it offers an authentic driving experience that captures the essence of the Mustang legacy. For more information, contact our Chicago showroom at (708) 444-4488 and be sure to check out our website with 100+ HD pictures and videos at GatewayClassicCars.com First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/CHI/2638/images/watermarked/mobile480/1967-Ford-Mustang.jpg,https://www.gatewayclassiccars.com/vehicle/chi/2638/1967-ford-mustang,
Ford,Phaeton,1936,00000000002626595,46000,21643,3 speed Manual,flathead V8,Tan,,car,"Gateway Classic Cars of Louisville is proud to digitally present this 1936 Ford Phaeton! Few cars capture the spirit of pre-war America like the '36 Phaeton. With its elegant lines, open-air design, and room for family and friends, this was the touring car of choice for those who valued both style and togetherness. This example wears a refined beige finish with a brown soft top and rides on wide white wall tires accented by a front bumper guard. Inside, the brown vinyl interior feels inviting and authentic, complete with a period-correct style radio that enhances its vintage charm. Under the hood, Ford's legendary flathead V8 paired with a 3-speed manual transmission delivers smooth, confident cruising. From parades to weekend drives, this car is built to be enjoyed and shared. Highlights: Flathead V8 - 3-Speed Manual - Period Radio - Wide White Walls - Front Bumper Guard The 1936 Ford Phaeton is listed by our Louisville showroom and can be viewed in greater detail including 100+ HD pictures and HD video at www.gatewayclassiccars.com . For additional information, please call our knowledgeable staff or email us at Louisville@ gatewayclassiccars.com - or better yet, come see our Louisville showroom today and see this classic in person. Cars like this don't wait long-make it yours before someone else does. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/LOU/3278/images/watermarked/mobile480/1936-Ford-Phaeton.jpg,https://www.gatewayclassiccars.com/vehicle/lou/3278/1936-ford-phaeton,
Chevrolet,Chevelle,1968,0000136378K216169,46000,2120,4-Speed Overdrive Automatic,454 CID Big Block V8,Yellow,,car,"Gateway Classic Cars of Dallas is proud to present this stunning 1968 Chevrolet Chevelle. When you think of muscle cars, you think of big-block Chevelles. When you think of big-block Chevelles, you think of raw power, aggressive exhaust notes, and intimidating styling, and boy, does this fine example live up to these hallmarks! For raw power, this Chevelle has a fresh 454 big block fed by a 4-barrel Holley carb. This hearty engine's 400-plus horsepower is fed through a 4-speed automatic to a Chevy 12-bolt Posi rear end. All it takes is a blip of the throttle to light the tires up! For aggressive exhaust notes, this Chevelle features stainless steel headers flowing into 3-inch exhaust pipes. Rev this bad boy up in the driveway and your neighbors will love you! For intimidating styling, the Chevelle features a ""can't miss it"" yellow paint job with two black stripes running down the hood and the trunk. Shaved door handles with electric poppers give the side of the car a great look, and 17-inch American Racing black mag wheels convey that this muscle car means business. The interior is finished in a period-correct style with black vinyl bucket seats and a console shifter. The gauges are all digital, so you can operate this beast with precision. Further performance upgrades on the car include UMI performance sway bars, drilled front brake rotors, and an aluminum radiator with dual electric fans. If you're looking for a car that screams pinnacle 60s muscle and won't let you forget it, this is the one. It is fresh and ready to roar for years to come! This is the one you want to own. Options include: Air conditioning (Not Blowing Cold), power brakes, power steering, power locks, power front windows, tilt wheel, keyless entry, seat belts, vinyl interior, and radial tires. This 1968 Chevrolet Chevelle is offered for sale by our Dallas Showroom and can be seen in greater detail, including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff at 817-310-9400 or email us at Dallas@ GatewayClassicCars.com. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/DFW/2987/images/watermarked/mobile480/1968-Chevrolet-Chevelle.jpg,https://www.gatewayclassiccars.com/vehicle/dfw/2987/1968-chevrolet-chevelle,
Pontiac,Firebird,1968,0000223378U137216,46000,61460,4 speed Manual,400 CID V8,Black,,car,"Gateway Classic Cars of Las Vegas is excited to digitally present this classic icon of American muscle, the 1968 Pontiac Firebird in a striking Black exterior that captures the essence of its era. This timeless beauty is powered by a robust 400 CID V8 engine, delivering the kind of performance that made the Firebird a legend on the road. Paired with a 4-speed manual transmission, this vehicle offers an engaging driving experience that enthusiasts will truly appreciate. The combination of power and precision makes this Firebird a standout choice for those who value both style and substance. Step inside to discover a sleek black vinyl interior that complements the bold exterior. The cabin is thoughtfully equipped with features designed to enhance your driving pleasure. Enjoy the comfort of air conditioning, ensuring a pleasant journey no matter the weather. The inclusion of an AM/FM radio and CD player provides entertainment options for every drive, allowing you to enjoy your favorite tunes as you cruise down the highway. Safety and convenience are also prioritized with seatbelts, power steering, and power brakes, offering peace of mind and ease of handling. This Firebird rides on stylish aluminum wheels, adding a touch of modern flair to its classic design. The radial tires provide a smooth and stable ride, enhancing the overall driving experience. Whether you're a collector or simply someone who appreciates the allure of vintage automobiles, this 1968 Pontiac Firebird is a remarkable example of automotive history. Its combination of performance, style, and features makes it a compelling choice for anyone looking to own a piece of the past while enjoying the comforts of modern amenities. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/LVS/1407/images/watermarked/mobile480/1968-Pontiac-Firebird.jpg,https://www.gatewayclassiccars.com/vehicle/lvs/1407/1968-pontiac-firebird,
Chevrolet,Monte Carlo,1972,00001H57H2L567227,46000,75985,Automatic,V8,Silver/Tan,,car,"Gateway classic Cars of Tulsa is proud to represent this 1972 Chevrolet Monte Carlo as it stands as a testament to timeless automotive design. With its striking custom silver and tan exterior, this vehicle captures attention with its elegant yet bold presence. The exterior is complemented by custom wheels that enhance its classic appeal, making it a standout on any road. Step inside to experience the luxury of a cream leather interior that offers both comfort and sophistication. The cabin is thoughtfully designed, featuring power windows for convenience and a tilt steering wheel that allows for a personalized driving experience. The inclusion of seatbelts ensures safety, while the power steering and power brakes provide ease of handling and control. Under the hood, the Monte Carlo is powered by a robust V8 engine paired with an automatic transmission, delivering a smooth and powerful driving experience. This classic car is equipped with modern amenities such as air conditioning to keep you comfortable on warm days, and an AM/FM radio with a CD player to provide entertainment on every journey. Whether you're cruising down the highway or parked at a car show, this 1972 Chevrolet Monte Carlo offers a unique blend of classic charm and modern features, making it a remarkable choice for any car enthusiast. The 1972 Chevrolet Monte Carlo is listed by our Tulsa Showroom and can be viewed in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff. Our Tulsa Showroom is located at 10010 E. 71 Street, Tulsa, OK 74133. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/TUL/680/images/watermarked/mobile480/1972-Chevrolet-Monte-Carlo.jpg,https://www.gatewayclassiccars.com/vehicle/tul/680/1972-chevrolet-monte-carlo,
